,v01 Portfolio Value,FRAX_Price,HEGIC_Price,SPA_Price
2025-02-28 13:00:00,100.0,100.0,100.0,100.0
2025-02-28 14:00:00,100.17516094071823,99.9721911561853,99.95577165757506,100.17516094071948
2025-02-28 15:00:00,102.66201303864284,99.99989960706202,99.89646455483388,102.66201303865859
2025-02-28 16:00:00,105.35392103642683,99.98494105930611,99.94230559889694,105.35392103645765
2025-02-28 17:00:00,106.35747562752992,100.03102141782938,100.71188682059905,106.35747562756207
2025-02-28 18:00:00,104.7295310823997,100.03312966952652,104.56112340796112,104.7295310824018
2025-02-28 19:00:00,105.10956223999979,100.03051945313958,104.35957602073937,105.10956224000518
2025-02-28 20:00:00,106.59205512059845,100.02670452149712,104.68844620228924,106.5920551206104
2025-02-28 21:00:00,110.7517251495428,100.0161632630114,103.92043736468428,110.75172514958312
2025-02-28 22:00:00,108.01729575025445,99.98122652060161,104.81258391088213,108.01729575027376
2025-02-28 23:00:00,111.49544736285024,99.9959842824816,103.16089521067934,111.49544736289947
2025-03-01 00:00:00,125.71746354564245,99.99457878135019,101.90193967689525,125.71746354578978
2025-03-01 01:00:00,121.71005355703679,100.00281100226283,102.2134329982946,121.71005355715978
2025-03-01 02:00:00,123.25388371404553,99.99899607062038,101.85247005414651,123.25388371417948
2025-03-01 03:00:00,116.2423707506312,99.972893906751,102.49565578496241,116.24237075072251
2025-03-01 04:00:00,119.7506648996785,100.01335226074853,102.52678092657776,119.75066489979005
2025-03-01 05:00:00,121.31758164004184,99.98453948755426,102.51202470658913,121.31758164016254
2025-03-01 06:00:00,119.18934526315104,100.00471846808406,102.75114804197865,119.18934526325829
2025-03-01 07:00:00,118.63142981451942,99.99999999999997,103.30769137728754,118.63142981462038
2025-03-01 08:00:00,121.02500716415221,99.99518113897793,103.0802198112333,121.02500716426822
2025-03-01 09:00:00,122.01005535197211,100.00642514802935,102.83093645552373,122.01005535209521
2025-03-01 10:00:00,122.91643585229033,100.01586208419752,104.04985667114194,122.9164358524118
2025-03-01 11:00:00,120.44332429459485,99.98855520507263,104.69667098064357,120.44332429469873
2025-03-01 12:00:00,120.91297843528908,99.98032298415998,104.25595994049132,120.91297843539814
2025-03-01 13:00:00,116.66628498490455,99.97480137257223,103.48754792747683,116.66628498499377
2025-03-01 14:00:00,119.0055191168876,99.97861630421468,103.34224350988387,119.00551911699085
2025-03-01 15:00:00,118.3324802231137,99.98343516523671,102.87290701565533,118.33248022321573
2025-03-01 16:00:00,122.8351686031093,99.98745088275508,102.978538972951,122.83516860323701
2025-03-01 17:00:00,120.88265021586271,99.9652640434661,102.77062141425874,120.8826502159803
2025-03-01 18:00:00,119.77647483335161,99.97369705025467,103.66768670045282,119.7764748334579
2025-03-01 19:00:00,122.66836339630947,99.9849410593061,102.5937886796409,122.66836339643876
2025-03-01 20:00:00,130.90142276468322,100.00060235762773,102.96366180033951,130.9014227648567
2025-03-01 21:00:00,141.1513087243288,99.98624616749956,103.07014042599516,141.15130872456226
2025-03-01 22:00:00,141.1513087243288,99.98624616749956,103.07014042599516,141.15130872456226
